image,err1,err2,err3,err4,err5,err6,err7,err8,err9,places_detectees,coords
Analyse 3 - 2026-03-03_0634.jpg,0,0,0,0,0,0,0,0,0,
Analyse 3 - 2026-03-03_0734.jpg,0,0,0,0,0,0,0,0,0,
Analyse 3 - 2026-03-03_0834.jpg,0,0,0,0,0,0,0,0,0,
Analyse 3 - 2026-03-03_0934.jpg,1,0,1,0,0,0,0,0,0,36,1:2730:280 | 3:706:1236
Analyse 3 - 2026-03-03_1034.jpg,9,0,2,1,0,0,0,0,0,28,3:796:840 | 3:663:1200 | 1:1293:796 | 1:1300:340 | 1:1480:320 | 1:1686:293 | 1:1850:306 | 1:2240:266 | 1:2403:273 | 1:2580:296 | 1:2720:283 | 4:3133:686
Analyse 3 - 2026-03-03_1134.jpg,2,0,2,0,0,0,0,0,0,35,1:1510:333 | 1:1683:333 | 3:803:853 | 3:720:1233
Analyse 3 - 2026-03-03_1234.jpg,0,0,2,0,0,0,0,0,0,37,3:783:860 | 3:706:1193
Analyse 3 - 2026-03-03_1335.jpg,1,0,2,0,0,0,0,0,0,36,1:1510:790 | 3:790:850 | 3:730:1206
Analyse 3 - 2026-03-03_1435.jpg,1,0,2,0,0,0,0,0,0,36,1:1766:1156 | 3:763:820 | 3:723:1180
Analyse 3 - 2026-03-03_1535.jpg,0,0,2,0,0,0,0,0,0,37,3:783:883 | 3:700:1200
Analyse 3 - 2026-03-03_1635.jpg,2,1,1,0,0,0,0,0,0,35,2:96:850 | 1:1243:1173 | 1:1756:1166 | 3:740:1206
Analyse 3 - 2026-03-03_1735.jpg,0,0,1,0,0,0,0,0,0,37,3:690:1160
Analyse 3 - 2026-03-03_1835.jpg,0,0,0,0,37,0,0,0,0,37,5:90:340 | 5:210:370 | 5:386:370 | 5:543:376 | 5:756:370 | 5:893:366 | 5:1356:356 | 5:1510:370 | 5:1670:356 | 5:1846:353 | 5:2070:350 | 5:2256:360 | 5:2393:336 | 5:2553:330 | 5:2696:306 | 5:1090:883 | 5:986:1153 | 5:1303:1250 | 5:1300:880 | 5:1500:806 | 5:1496:1156 | 5:1716:1160 | 5:1673:873 | 5:1956:833 | 5:1990:1000 | 5:2293:1120 | 5:2183:893 | 5:2333:860 | 5:2443:1056 | 5:2750:1053 | 5:2590:870 | 5:2760:826 | 5:2970:1076 | 5:3016:823 | 5:3123:1056 | 5:3126:746 | 5:86:783
