image,score,confidence,reason
2026-03-09/2026-03-09_1129.jpg,49.29,0.6871,illegal_4
2026-03-02/2026-03-02_1032.jpg,47.27,0.6873,illegal_3
2026-03-20/2026-03-20_0910.jpg,31.26,0.6874,low_confidence
2026-03-10/2026-03-10_0949.jpg,31.24,0.6876,low_confidence
2026-03-02/2026-03-02_0952.jpg,43.22,0.6878,illegal_1
2026-03-19/2026-03-19_1213.jpg,43.22,0.6878,illegal_1
2026-03-24/2026-03-24_1108.jpg,47.21,0.6879,illegal_3
2026-03-11/2026-03-11_1052.jpg,43.21,0.6879,illegal_1
2026-03-18/2026-03-18_0915.jpg,43.21,0.6879,illegal_1
2026-03-26/2026-03-26_1402.jpg,43.14,0.6886,illegal_1
2026-03-04/2026-03-04_0941.jpg,31.13,0.6887,low_confidence
2026-03-03/2026-03-03_1054.jpg,45.10,0.6890,illegal_2
2026-03-05/2026-03-05_1822.jpg,31.05,0.6895,low_confidence
2026-03-10/2026-03-10_1109.jpg,42.99,0.6901,illegal_1
2026-03-24/2026-03-24_1128.jpg,46.95,0.6905,illegal_3
2026-03-10/2026-03-10_0929.jpg,30.95,0.6905,low_confidence
2026-03-09/2026-03-09_1239.jpg,48.94,0.6906,illegal_4
2026-03-06/2026-03-06_0933.jpg,30.94,0.6906,low_confidence
2026-03-04/2026-03-04_1001.jpg,30.92,0.6908,low_confidence
2026-03-05/2026-03-05_1202.jpg,44.72,0.6928,illegal_2
2026-03-24/2026-03-24_0928.jpg,46.68,0.6932,illegal_3
2026-03-17/2026-03-17_1843.jpg,30.65,0.6935,low_confidence
2026-03-26/2026-03-26_1032.jpg,44.64,0.6936,illegal_2
2026-03-25/2026-03-25_1834.jpg,30.58,0.6942,low_confidence
2026-03-02/2026-03-02_1122.jpg,48.55,0.6945,illegal_4
2026-03-06/2026-03-06_1103.jpg,30.54,0.6946,low_confidence
2026-03-10/2026-03-10_1009.jpg,42.51,0.6949,illegal_1
2026-03-02/2026-03-02_1152.jpg,46.50,0.6950,illegal_3
2026-03-04/2026-03-04_1131.jpg,42.50,0.6950,illegal_1
2026-03-11/2026-03-11_1042.jpg,42.48,0.6952,illegal_1
2026-03-19/2026-03-19_1303.jpg,42.47,0.6953,illegal_1
2026-03-11/2026-03-11_1102.jpg,42.46,0.6954,illegal_1
2026-03-04/2026-03-04_1111.jpg,42.44,0.6956,illegal_1
2026-02-27/2026-02-27_1031.jpg,30.44,0.6956,low_confidence
2026-03-11/2026-03-11_0952.jpg,30.38,0.6962,low_confidence
2026-03-24/2026-03-24_1228.jpg,48.36,0.6964,illegal_4
2026-03-24/2026-03-24_1118.jpg,46.35,0.6965,illegal_3
2026-03-03/2026-03-03_1114.jpg,46.34,0.6966,illegal_3
2026-03-04/2026-03-04_1041.jpg,30.34,0.6966,low_confidence
