timestamp,image,total_cars,cars_in_forbidden,cars_legal,line_delta_dx,line_delta_dy,alignment_source,alignment_confidence,uncertain
2026-04-16 01:37:56,TEST/2024-04-05 18_04_45.jpg,4,0,4,0.0,0.0,disabled,0.9303,0
2026-04-16 01:37:56,TEST/2024-04-10 08_04_25.jpg,31,1,30,0.0,0.0,disabled,0.9258,0
2026-04-16 01:37:56,TEST/2024-04-10 09_04_26.jpg,34,1,33,0.0,0.0,disabled,0.9112,0
2026-04-16 01:37:56,TEST/2024-04-10 09_04_27.jpg,33,2,31,0.0,0.0,disabled,0.9155,0
2026-04-16 01:37:56,TEST/2024-04-10 10_04_27.jpg,35,2,33,0.0,0.0,disabled,0.9134,0
2026-04-16 01:37:57,TEST/2024-04-10 10_04_28.jpg,36,2,34,0.0,0.0,disabled,0.9219,0
2026-04-16 01:37:57,TEST/2024-04-10 10_04_29.jpg,36,3,33,0.0,0.0,disabled,0.9235,0
2026-04-16 01:37:57,TEST/2024-04-10 11_04_29.jpg,36,3,33,0.0,0.0,disabled,0.9232,0
2026-04-16 01:37:57,TEST/2024-04-10 11_04_30.jpg,35,3,32,0.0,0.0,disabled,0.9239,0
2026-04-16 01:37:57,TEST/2024-04-10 12_04_30.jpg,35,2,33,0.0,0.0,disabled,0.9241,0
2026-04-16 01:37:58,TEST/2024-04-10 12_04_31.jpg,35,2,33,0.0,0.0,disabled,0.9060,0
2026-04-16 01:37:58,TEST/2024-04-10 12_04_32.jpg,35,2,33,0.0,0.0,disabled,0.9153,0
2026-04-16 01:37:58,TEST/2024-04-10 13_04_32.jpg,34,2,32,0.0,0.0,disabled,0.9138,0
2026-04-16 01:37:58,TEST/2024-04-10 13_04_33.jpg,36,2,34,0.0,0.0,disabled,0.9120,0
2026-04-16 01:37:58,TEST/2024-04-10 14_04_34.jpg,33,2,31,0.0,0.0,disabled,0.9113,0
2026-04-16 01:37:59,TEST/2024-04-10 14_04_35.jpg,29,2,27,0.0,0.0,disabled,0.9147,0
2026-04-16 01:37:59,TEST/2024-04-10 15_04_35.jpg,27,1,26,0.0,0.0,disabled,0.9110,0
2026-04-16 01:37:59,TEST/2024-04-10 15_04_36.jpg,24,1,23,0.0,0.0,disabled,0.9254,0
2026-04-16 01:37:59,TEST/2024-04-10 15_04_37.jpg,25,1,24,0.0,0.0,disabled,0.9153,0
2026-04-16 01:37:59,TEST/2024-04-10 16_04_37.jpg,20,1,19,0.0,0.0,disabled,0.9212,0
2026-04-16 01:38:00,TEST/2024-04-10 16_04_38.jpg,20,1,19,0.0,0.0,disabled,0.9129,0
2026-04-16 01:38:00,TEST/2024-04-10 17_04_38.jpg,19,1,18,0.0,0.0,disabled,0.9136,0
